#{"t_start": 1781994639.7331696, "env_id": "CartPole-v1"}
r,l,t
131.0,131,351.513032
123.0,123,351.877069
135.0,135,352.318594
132.0,132,352.735798
118.0,118,353.108705
119.0,119,353.510315
120.0,120,353.894241
116.0,116,354.351858
114.0,114,354.711709
129.0,129,355.153334
120.0,120,355.549998
130.0,130,355.967927
120.0,120,356.423659
119.0,119,356.884634
122.0,122,357.282384
112.0,112,357.629137
119.0,119,357.998203
125.0,125,358.37834
121.0,121,358.764525
129.0,129,359.171149
131.0,131,359.575146
123.0,123,359.967633
105.0,105,360.292384
121.0,121,360.671772
130.0,130,361.120258
127.0,127,361.549423
137.0,137,361.982603
124.0,124,362.374595
123.0,123,362.776601
117.0,117,363.110612
139.0,139,363.523601
76.0,76,363.718603
125.0,125,364.049603
117.0,117,364.385604
126.0,126,364.749596
123.0,123,365.083604
117.0,117,365.420602
120.0,120,365.755604
133.0,133,366.225602
130.0,130,366.597602
125.0,125,366.967658
124.0,124,367.348676
118.0,118,367.760325
125.0,125,368.148635
116.0,116,368.517592
126.0,126,368.908018
117.0,117,369.270605
116.0,116,369.613756
123.0,123,370.005887
129.0,129,370.466412
117.0,117,370.873087
122.0,122,371.30452
129.0,129,371.771318
127.0,127,372.206109
113.0,113,372.5983
106.0,106,372.998186
115.0,115,373.379057
115.0,115,373.753963
122.0,122,374.127248
117.0,117,374.477879
123.0,123,374.827869
124.0,124,375.139867
125.0,125,375.489871
119.0,119,375.82288
121.0,121,376.184873
120.0,120,376.542871
123.0,123,376.899952
12.0,12,376.919955
115.0,115,377.231955
120.0,120,377.609846
132.0,132,378.11011
109.0,109,378.533446
118.0,118,378.954067
122.0,122,379.395582
119.0,119,379.81065
122.0,122,380.219936
122.0,122,380.599172
120.0,120,380.973529
117.0,117,381.351378
116.0,116,381.717238
123.0,123,382.081236
110.0,110,382.366242
115.0,115,382.698241
122.0,122,383.046252
111.0,111,383.345232
119.0,119,383.70024
118.0,118,384.029791
123.0,123,384.397791
127.0,127,384.73379
121.0,121,385.057788
122.0,122,385.396784
126.0,126,385.756791
120.0,120,386.244789
125.0,125,386.641791
120.0,120,387.041874
112.0,112,387.404875
111.0,111,387.770877
120.0,120,388.169877
125.0,125,388.557078
118.0,118,388.970771
111.0,111,389.384094
117.0,117,389.759095
108.0,108,390.080089
111.0,111,390.387089
118.0,118,390.731095
119.0,119,391.044095
115.0,115,391.361094
116.0,116,391.676091
108.0,108,392.009091
121.0,121,392.35709
124.0,124,392.651094
118.0,118,393.030091
120.0,120,393.398094
114.0,114,393.760092
113.0,113,394.125094
112.0,112,394.528264
109.0,109,394.920694
118.0,118,395.343618
122.0,122,395.76162
119.0,119,396.147621
119.0,119,396.472619
112.0,112,396.776619
122.0,122,397.134703
127.0,127,397.472692
117.0,117,397.808702
109.0,109,398.115695
112.0,112,398.408698
119.0,119,398.763699
116.0,116,399.1387
112.0,112,399.480115
115.0,115,399.845118
114.0,114,400.188117
111.0,111,400.53466
116.0,116,400.871653
110.0,110,401.176661
108.0,108,401.539657
114.0,114,401.931657
13.0,13,401.970193
112.0,112,402.370291
117.0,117,402.803853
115.0,115,403.188731
125.0,125,403.617733
13.0,13,403.671732
107.0,107,404.02373
12.0,12,404.064733
115.0,115,404.43273
114.0,114,404.763731
115.0,115,405.063739
109.0,109,405.364732
17.0,17,405.407732
115.0,115,405.727748
109.0,109,406.120275
119.0,119,406.492277
117.0,117,406.861366
107.0,107,407.268366
107.0,107,407.665364
16.0,16,407.732366
15.0,15,407.768363
108.0,108,408.129366
15.0,15,408.180365
16.0,16,408.256365
111.0,111,408.642365
16.0,16,408.697364
105.0,105,409.055363
113.0,113,409.444363
13.0,13,409.472359
108.0,108,409.820371
14.0,14,409.844373
112.0,112,410.333365
113.0,113,410.750364
15.0,15,410.800365
12.0,12,410.853366
103.0,103,411.233916
104.0,104,411.645917
112.0,112,412.085418
119.0,119,412.524157
101.0,101,412.974905
104.0,104,413.381419
106.0,106,413.858278
109.0,109,414.322392
12.0,12,414.37454
16.0,16,414.415314
112.0,112,414.82967
113.0,113,415.226311
116.0,116,415.630759
113.0,113,416.013577
105.0,105,416.365609
