#{"t_start": 1781856978.2918658, "env_id": "CartPole-v1"}
r,l,t
23.0,23,40.971357
11.0,11,40.991889
14.0,14,41.022004
22.0,22,41.059062
34.0,34,41.139102
25.0,25,41.185655
31.0,31,41.258023
16.0,16,41.284922
16.0,16,41.312447
36.0,36,41.39137
11.0,11,41.415446
30.0,30,41.480641
25.0,25,41.552281
32.0,32,41.627309
42.0,42,41.689611
32.0,32,41.760206
39.0,39,41.846168
30.0,30,41.895765
15.0,15,41.930624
19.0,19,41.958559
18.0,18,42.01009
16.0,16,42.050982
13.0,13,42.076243
16.0,16,42.1039
12.0,12,42.128445
21.0,21,42.167265
11.0,11,42.184504
9.0,9,42.201021
17.0,17,42.233475
10.0,10,42.250997
20.0,20,42.29733
14.0,14,42.318846
19.0,19,42.362847
23.0,23,42.435288
47.0,47,42.526394
84.0,84,42.68229
29.0,29,42.767571
24.0,24,42.80113
30.0,30,42.863092
11.0,11,42.886441
15.0,15,42.925478
52.0,52,43.027401
25.0,25,43.076428
38.0,38,43.152702
39.0,39,43.263224
14.0,14,43.315376
60.0,60,43.444659
13.0,13,43.468503
19.0,19,43.513428
19.0,19,43.562515
18.0,18,43.597154
25.0,25,43.636183
16.0,16,43.677026
32.0,32,43.727327
13.0,13,43.749593
10.0,10,43.772119
20.0,20,43.826491
14.0,14,43.847015
18.0,18,43.879103
22.0,22,43.925419
14.0,14,43.959462
12.0,12,43.979974
29.0,29,44.046532
21.0,21,44.084624
37.0,37,44.190983
16.0,16,44.223041
23.0,23,44.277201
69.0,69,44.406115
12.0,12,44.432628
54.0,54,44.54028
16.0,16,44.568321
22.0,22,44.619176
17.0,17,44.659254
19.0,19,44.697317
26.0,26,44.743312
19.0,19,44.781318
29.0,29,44.848313
12.0,12,44.866313
12.0,12,44.883315
26.0,26,44.921314
20.0,20,44.977317
21.0,21,45.012318
22.0,22,45.047318
27.0,27,45.111318
29.0,29,45.182317
17.0,17,45.215317
16.0,16,45.243316
16.0,16,45.271318
60.0,60,45.390318
40.0,40,45.468316
16.0,16,45.495317
16.0,16,45.531327
12.0,12,45.553327
57.0,57,45.637317
42.0,42,45.704317
67.0,67,45.82531
34.0,34,45.900318
16.0,16,45.928325
17.0,17,45.95432
11.0,11,45.985315
23.0,23,46.030322
24.0,24,46.089322
32.0,32,46.146318
49.0,49,46.232326
20.0,20,46.272317
36.0,36,46.346324
23.0,23,46.381317
30.0,30,46.468319
29.0,29,46.522318
35.0,35,46.596318
22.0,22,46.628314
30.0,30,46.690317
41.0,41,46.749319
24.0,24,46.799328
18.0,18,46.830319
53.0,53,46.954319
12.0,12,46.989317
18.0,18,47.032319
62.0,62,47.145318
17.0,17,47.171317
22.0,22,47.232311
78.0,78,47.391326
35.0,35,47.447327
37.0,37,47.516319
39.0,39,47.608317
22.0,22,47.643326
36.0,36,47.711317
30.0,30,47.794318
30.0,30,47.865317
26.0,26,47.912318
39.0,39,47.997319
15.0,15,48.018318
25.0,25,48.087316
27.0,27,48.140321
19.0,19,48.180314
19.0,19,48.20731
23.0,23,48.252317
